--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Fri Jun 20 01:08:03 2025
--------------------------------------------------------------------------------{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0, 'vms': 0.05859375} 

{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'pid': 4, 'vms': 0.2578125} 

{'username': None, 'name': 'Registry', 'pid': 100, 'vms': 7.515625} 

{'username': None, 'name': 'smss.exe', 'pid': 420, 'vms': 1.05078125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'conhost.exe', 'pid': 520, 'vms': 6.171875} 

{'username': None, 'name': 'csrss.exe', 'pid': 612, 'vms': 1.90234375} 

{'username': None, 'name': 'svchost.exe', 'pid': 636, 'vms': 7.29296875} 

{'username': None, 'name': 'wininit.exe', 'pid': 688, 'vms': 1.37890625} 

{'username': None, 'name': 'csrss.exe', 'pid': 696, 'vms': 2.5546875} 

{'username': None, 'name': 'winlogon.exe', 'pid': 760, 'vms': 2.5234375} 

{'username': None, 'name': 'services.exe', 'pid': 832, 'vms': 5.34765625} 

{'username': None, 'name': 'SearchIndexer.exe', 'pid': 848, 'vms': 28.41015625} 

{'username': None, 'name': 'lsass.exe', 'pid': 852, 'vms': 8.0546875} 

{'username': None, 'name': 'svchost.exe', 'pid': 928, 'vms': 2.3046875} 

{'username': None, 'name': 'svchost.exe', 'pid': 980, 'vms': 10.28515625} 

{'username': None, 'name': 'fontdrvhost.exe', 'pid': 1008, 'vms': 2.77734375} 

{'username': None, 'name': 'fontdrvhost.exe', 'pid': 1016, 'vms': 1.734375} 

{'username': None, 'name': 'dwm.exe', 'pid': 1048, 'vms': 43.125} 

{'username': None, 'name': 'svchost.exe', 'pid': 1064, 'vms': 4.23046875} 

{'username': None, 'name': 'svchost.exe', 'pid': 1204, 'vms': 1.6875} 

{'username': None, 'name': 'svchost.exe', 'pid': 1216, 'vms': 2.43359375} 

{'username': None, 'name': 'svchost.exe', 'pid': 1224, 'vms': 1.16796875} 

{'username': None, 'name': 'svchost.exe', 'pid': 1232, 'vms': 2.2578125} 

{'username': None, 'name': 'SecurityHealthService.exe', 'pid': 1264, 'vms': 4.76953125} 

{'username': None, 'name': 'svchost.exe', 'pid': 1344, 'vms': 13.9765625} 

{'username': None, 'name': 'svchost.exe', 'pid': 1352, 'vms': 1.50390625} 

{'username': None, 'name': 'svchost.exe', 'pid': 1396, 'vms': 6.01953125} 

{'username': None, 'name': 'svchost.exe', 'pid': 1412, 'vms': 3.21484375} 

{'username': None, 'name': 'svchost.exe', 'pid': 1492, 'vms': 1.93359375} 

